"name"	"point"	"route_str"
"Destroyer of Wedges"	"1200"	"mini_ramp_spine,mini_ramp02,rear_spawn_ramp,left_wedge,fish_hook_wedge,awp_ramp,behind_t2_tower_wedge,right_wedge,middle_wing,ground_ramp,fish_hook_wedge,awp_ramp,t2_left_wing,ski_sign"
"Vakoum stretching like a king"	"1200"	"bonus_platform,starlight,long_ramp,behind_long_ramp,right_wedge,tower_base_water"
"Double High Lupkes"	"1200"	"jail_floor_02,main_ramp,sriracha,main_ramp,sriracha,spawn_roof_water"
"Rambo"	"1200"	"awp_platform,fish_ramp,awp_ramp,behind_t2_tower_wedge"
"Incomprehensible Flevin Rise"	"1200"	"tower_platform,banana_ramp,right_wedge,behind_long_ramp,long_ramp,rear_spawn_ramp,triomino2,t2_right_wing,t2_left_wing,main_ramp,jail_box_1"
"Fluffy Pillows"	"1200"	"long_ramp_slant,north_east_ramp,behind_t2_tower_wedge,t2_right_wing,main_blunt_ramp,t2_right_wing,behind_t2_tower_wedge,right_wedge,t2_right_wing,behind_t2_tower_wedge,t2_right_wing,main_drag,main_wings,middle_wing,left_wedge,elevator_mid_entrance"
"Hard Pinchy Minchy"	"1200"	"fish_booster_middle,throw_middle_awp,under_blunt,t2_center_down_ramp,t2_big_water_ramp,main_blunt_ramp,t2_tower_platform"
"Double hard lupkes"	"1225"	"jail_floor_02,main_ramp,sriracha,main_ramp,sriracha,t1_right_platform"
"Zolomon on rail from spawn"	"1225"	"t_spawn,main_ramp,main_ramp,t_spawn_hole_front,main_ramp,main_ramp,t1_right_rail"
"Hard anime return to box"	"1225"	"tower_top,banana_ramp,banana_ramp,banana_hole,tower_box2"
"On wings without wings"	"1225"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,main_drag,main_wings,triomino2"
"Ahead armageddon"	"1225"	"jail_floor_02,main_ramp,t2_left_wing,t2_right_wing,main_ramp,triomino2,t2_left_wing,t2_left_box_1"
"Possible Rise"	"1225"	"t2_floor,sausage_ramp,prison_tip"
"Hard spuds rise"	"1250"	"mini_ramp_spine,mini_ramp02,sriracha,main_ramp,t2_left_wing,healbot_platform,awp_ramp,fish_hook_wedge,left_wedge,middle_wing,main_ramp,rear_spawn_ramp,letter_t1"
"WTB yawspeed v2"	"1250"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,t2_right_wing,t2_left_wing,main_ramp,jail_box_1"
"Aku no hana"	"1250"	"t2_tower_platform,long_ramp,t2_spawn_teleporter,main_drag,t2_left_window,through_t2_back_left,t2_left_wing,t2_tower_platform"
"Spawn return to water"	"1250"	"t_spawn,main_ramp,main_ramp,t_spawn_water"
"Boggy rise to ladder"	"1250"	"mini_ramp_spine,mini_ramp02,sriracha,triomino2,t2_ladder"
"Benihana"	"1250"	"t2_tower_platform,right_wedge,telepad"
"rise my sword"	"1250"	"tower_scout_platform,tower_middle_ramp,banana_ramp,jail_floor_02"
"Corner God"	"1250"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,behind_t2_tower_wedge,ski_sign"
"Hard Weird Return"	"1250"	"jail_floor_02,main_ramp,main_drag,gun_room_ramp,through_t2_tower,t2_tower_platform,main_ramp,jail_wall_02"
"Elsagate"	"1250"	"bonus_platform,sriracha,hamburger,middle_wing,main_blunt_ramp,t2_right_wing,triomino1,triomino2,ring,long_ramp,triomino2,sriracha,jail_ledge02"
"Madexe"	"1250"	"tower_platform,fish_hook_wedge,fish_ramp,behind_t2_tower_wedge,long_ramp,sriracha_tip"
"Hate me"	"1250"	"jail_floor_02,sriracha,sriracha,spawn_roof_water"
"Cold Blood"	"1250"	"strafes_platform,flat_ramp,prison_rail,prison_floor"
"HNS Wet Dream V3"	"1250"	"top_floor,spine_ramp_1,spine_ramp_2,spine_ramp_3,spine_ramp_3,spine_ramp_2,spine_ramp_1,top_floor"
"Icarus Flight"	"1250"	"kevin_ramp_tip,kevin_ramp,keith_ramp,awp_ramp,ground_ramp,left_wedge_tip"
"Blood Money"	"1275"	"tower_platform,banana_ramp,triomino2,mario_room_teleport"
"Hurricane Remix"	"1275"	"awp_platform,triomino1,under_awp,awp_ramp,behind_t2_tower_wedge"
"From Ocho Rios to Dorking"	"1275"	"tower_platform,fish_hook_wedge,fish_ramp,tower_box"
"Sunset"	"1300"	"jail_floor_02,main_ramp,t2_right_wing,t2_left_wing,middle_wing,elevator_mid_entrance"
"Kings Mindfuck"	"1300"	"jail_wall_02,main_ramp,middle_wing,left_wedge,main_blunt_ramp,t2_tower_platform"
"Hard avalanche"	"1300"	"jail_floor_02,main_ramp,triomino1,ski_sign"
"Morning lobotomy"	"1300"	"jail_floor_02,main_ramp,long_ramp,t2_left_wing"
"Hololo"	"1300"	"awp_platform,triomino1,fish_ramp_wedge,triomino1,fish_ramp_wedge,awp_ramp,t2_big_hole_left"
"God rise"	"1300"	"gun_room,gun_room_ramp,through_t2_tower,fish_ramp,triomino2,rear_spawn_ramp,main_ramp,t2_left_box_2"
"Danhee v3"	"1300"	"bonus_platform,sriracha,long_ramp,triomino2,sriracha,jail_ledge02"
"Hard wrap rise"	"1300"	"jail_booster_tip,main_ramp,main_ramp,behind_spawn,main_ramp,ski_sign"
"Impossible rise"	"1300"	"jail_wall_02,main_ramp,t2_tower_platform"
"Shortcut to bonus cube"	"1300"	"jail_floor_02,main_ramp,ground_teleporter,jail_floor_02,main_ramp,ground_teleporter,jail_floor_02,section_slant,bonus_cube"
"Digital damage"	"1300"	"t1_right_rail,gun_room"
"Gaylord"	"1300"	"gun_room,gun_room_ramp,through_t2_tower,triomino1,triomino2,spawn_roof_water"
"Hard Everest"	"1300"	"fish_booster_middle,fish_ramp,healbot_ramp,main_ramp,jail_wall_02"
"KAKODEMON"	"1350"	"jail_floor_02,main_ramp,main_ramp,t1_middle_hole,rear_spawn_ramp,t1_middle_hole,ct_spawn_teleporter"
"BlitzKrieg"	"1350"	"spawn_roof_water,main_ramp,long_ramp,fish_ramp,fish_hook_wedge,elevator_mid_tip"
"Impossible circus"	"1350"	"awp_platform,triomino1,triomino2,ring"
"Trilogy final"	"1375"	"spawn_roof_water,main_ramp,long_ramp,t2_tower_platform"
"Raptor from jail floor"	"1375"	"jail_floor_02,sriracha,banana_ramp,section_ramp,telepad"
"Demigod"	"1400"	"jail_floor_02,main_ramp,t2_left_wing,t2_right_wing,main_ramp,behind_main_ramp_trigger,main_ramp,t2_right_wing,t2_left_wing,main_ramp,telepad,long_ramp,t2_tower_platform"
"Double Euphoria"	"1400"	"t2_tower_platform,awp_ramp,fish_ramp,behind_t2_tower_wedge,fish_ramp,fish_hook_wedge,triomino1,t2_left_wing,triomino1,t2_left_wing,ski_sign"
"Eclipse"	"1400"	"jail_booster_tip,main_ramp,t2_right_wing,t2_left_wing,middle_wing,elevator_mid_entrance"
"Spuds derevo rise "	"1400"	"mini_ramp_spine,mini_ramp02,sriracha,main_ramp,t2_left_wing,healbot_platform,awp_ramp,fish_hook_wedge,left_wedge,middle_wing,main_ramp,rear_spawn_ramp,telepad_derevo"
"Rat Soul"	"1400"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,fish_ramp,awp_platform,fish_ramp,through_t2_back_right,through_t2_front_right,ski_sign,t2_left_wing,t2_right_wing,t2_left_wing,t2_left_box_1"
"Gore"	"1400"	"top_platforrn,main_ramp,flat_ramp,spine_platform"
"Nothing is impossible"	"1425"	"spawn_roof_water,main_ramp,t2_left_wing,t2_right_wing,main_ramp,spawn_roof_water"
"Halisha's dream"	"1450"	"tower_top,banana_ramp,section_ramp,banana_ramp,banana_ramp,section_ramp,banana_ramp,banana_hole,halisha_throne_lower"
"Full Euphoria "	"1450"	"awp_platform,awp_ramp,fish_ramp,behind_t2_tower_wedge,fish_ramp,fish_hook_wedge,triomino1,t2_left_wing,ski_sign"
"Sunflower"	"1450"	"jail_floor_02,main_ramp,t2_left_wing,t2_right_wing,main_ramp,telepad,long_ramp,t2_right_hole"
"Triple high lupkes"	"1500"	"jail_floor_02,main_ramp,sriracha,main_ramp,sriracha,main_ramp,sriracha,spawn_roof_water"
"WTB yawspeed v3"	"1525"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,t2_right_wing,t2_left_wing,main_ramp,jail_box_4"
"Russian Mafia"	"1550"	"jail_wall_02,main_ramp,t2_tower_water02"
